TargetFieldName,InputColumnNumber,MappingLogic,Required,DataType,MinLength,MaxLength,MinValue,MaxValue,ValidValues,Pattern
FinanceEnterpriseGroup,,Hardcode 'AHF',Y,string,,4,,,,
GLTransactionInterface.RunGroup,1,Column1,Y,string,,30,,,,
GLTransactionInterface.SequenceNumber,,Increment By 1,Y,integer,,12,,,,
AccountingEntity,3,RemoveLeadingZeroes(Column3),Y,string,,12,,,,
Status,,Hardcode '0',,integer,,1,,,"0,1,2",
OrganizationCode,,,,string,,40,,,,
ToAccountingEntity,3,Column3,,string,,12,,,,
AccountingUnit,,,,string,,25,,,,
AccountCode,5,"Left(Column5,6)",Y,string,,26,,,,
GeneralLedgerEvent,6,If Column6 == '' Then 'TC' Else Column6,,string,,15,,,,
JournalCode,16,Trim(Column16),,string,,6,,,,
TransactionDate,7,"DateReformat(Column7,'MMDDYYYY','YYYYMMDD')",,string,8,8,,,,
Reference,8,Column8,,string,,40,,,,
Description,9,Column9,,string,,60,,,,
CurrencyCode,10,Column10,,string,,5,,,,
UnitsAmount,11,Column11,,decimal,,,,,,
TransactionAmount,12,Column12,,decimal,,,,,,
System,15,If Column15 == '' Then 'GL' Else Column15,,string,,2,,,,
AutoReverse,17,Hardcode 'N',,string,,,,,,
PostingDate,18,"DateReformat(Column18,'MMDDYYYY','YYYYMMDD')",Y,string,8,8,,,,
Project,19,Column19,,string,,25,,,,
FinanceDimension1,4,"Right(Column4,5)",,string,,15,,,,
FinanceDimension2,,,,string,,15,,,,
FinanceDimension3,20,Column20,,string,,15,,,,
FinanceDimension4,,,,string,,15,,,,
FinanceDimension5,,,,string,,15,,,,
FinanceDimension6,,,,string,,15,,,,
FinanceDimension7,,,,string,,15,,,,
FinanceDimension8,,,,string,,15,,,,
FinanceDimension9,,,,string,,15,,,,
FinanceDimension10,,,,string,,15,,,,
DocumentNumber,21,Column21,,string,,30,,,,
