Field Name,Start,End,Length,Required,Pad Character,Justify,Default Value,Mapping Logic,Description
Record Type,1,1,1,Y, ,Left,,,"H=Header L=Line C=Comment D=Detail"
Company,2,5,4,Y,0,Right,,RemoveLeadingZeroes(Column2),Company number
Req Number,6,12,7,Y,0,Right,,RemoveLeadingZeroes(Column3),Requisition number
Line Number,13,18,6,N,0,Right,,,Equals zero for header records
Requester,19,28,10,Y, ,Left,,,Person or department requesting items
Req Location,29,33,5,Y, ,Left,,,Location requesting the items
Req Del Date,34,41,8,Y,0,Left,,,Requested delivery date YYYYMMDD
Creation Date,42,49,8,N,0,Left,,,Date line was added YYYYMMDD
From Company,50,53,4,N,0,Right,,RemoveLeadingZeroes(Column9),From company number
From Location,54,58,5,N, ,Left,,,Inventory location that supplies items
Deliver To,59,88,30,N, ,Left,,,Additional delivery information
Buyer Code,89,91,3,N, ,Left,,,Buyer code from PO04.1
Vendor,92,100,9,N, ,Right,,,Vendor ID
Purchase From Loc,101,104,4,N, ,Left,,,Suggested vendor location code
Vendor Name,105,134,30,N, ,Left,,,Vendor name
Print Req Fl,135,135,1,N, ,Left,N,,Print requisition flag Y/N
Agreement Ref,136,165,30,N, ,Left,,,Agreement reference
PO User Fld 1,166,166,1,N, ,Left,,,PO header user field 1
PO User Fld 3,167,176,10,N, ,Left,,,PO header user field 3
PO User Fld 5,177,206,30,N, ,Left,,,PO header user field 5
User Date 1,207,214,8,N,0,Left,,,User date YYYYMMDD
User Date 2,215,222,8,N,0,Left,,,User date YYYYMMDD
Allocate Priority,223,224,2,N,0,Right,50,,Allocation priority 00-99
Quote Fl,225,225,1,N, ,Left,N,,Quote required flag Y/N
Activity,226,240,15,N, ,Left,,,Project Accounting activity code
Account Category,241,245,5,N, ,Left,,,Accounting category code
Billing Category,246,277,32,N, ,Left,,,Billing category
Account Unit,278,292,15,Y, ,Left,,,Cost Center / Finance Dimension 1
Account,293,298,6,N,0,Right,,,GL chart account
Sub Account,299,302,4,N,0,Right,,,GL subaccount
Purchase Tax Code,303,312,10,N, ,Left,,,Tax code for purchased items
Purchase Tax Fl,313,313,1,N, ,Left,N,,Taxable flag Y/N
Operator Id,314,323,10,N, ,Left,,,Person who entered transaction
Dropship Fl,324,324,1,N, ,Left,N,,Dropship flag Y/N
Dropsh Req Loc,325,325,1,N, ,Left,,,Dropship receiving required
Dropsh Req,326,326,1,N, ,Left,,,Dropship request
Sh Name,327,356,30,N, ,Left,,,Ship To name
Sh Addr 1,357,386,30,N, ,Left,,,Ship To address line 1
Sh Addr 2,387,416,30,N, ,Left,,,Ship To address line 2
Sh Addr 3,417,446,30,N, ,Left,,,Ship To address line 3
Sh Addr 4,447,476,30,N, ,Left,,,Ship To address line 4
Sh City-Addr5,477,494,18,N, ,Left,,,Ship To city
Sh State-Prov,495,496,2,N, ,Left,,,Ship To state
Sh Post Code,497,506,10,N, ,Left,,,Ship To postal code
Sh Country,507,536,30,N, ,Left,,,Ship To country
Sh County,537,561,25,N, ,Left,,,Ship To county
Sh Phone Pref,562,567,6,N, ,Left,,,Phone prefix
Sh Phone,568,582,15,N, ,Left,,,Phone number
Sh Phone Ext,583,587,5,N, ,Left,,,Phone extension
Sh Contact,588,617,30,N, ,Left,,,Contact person at Ship To
Tran Curr Code,618,622,5,N, ,Left,,,Transaction currency code
One Src One PO,623,623,1,N, ,Left,1,,One doc to one PO
Location Rule,624,635,12,N, ,Left,,,Location rule
Segment Block,636,738,103,N, ,Left,,,User analysis values
