FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,JournalCode,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,AutoReverse,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber
1,10252025BLU4,1,10,0,10,100008,NL,,20251025,AMBULATORY,Cash,USD,0,457.66, ,N,20251025, ,027, , 
1,10252025BLU4,2,10,0,10,100008,NL,,20251025,AMBULATORY,Cash,USD,0,797.93, ,N,20251025, ,012, , 
1,10252025BLU4,3,10,0,10,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-28.68, ,N,20251025, ,012, , 
1,10252025BLU4,4,35,0,35,100008,NL,,20251025,AMBULATORY,Cash,USD,0,3713.36, ,N,20251025, ,028, , 
1,10252025BLU4,5,35,0,35,100008,NL,,20251025,AMBULATORY,Cash,USD,0,7090.63, ,N,20251025, ,012, , 
1,10252025BLU4,6,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,30943.60, ,N,20251025, ,100, , 
1,10252025BLU4,7,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-790.60, ,N,20251025, ,100, , 
1,10252025BLU4,8,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,10141.56, ,N,20251025, ,150, , 
1,10252025BLU4,9,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-116.90, ,N,20251025, ,150, , 
1,10252025BLU4,10,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,3937.97, ,N,20251025, ,200, , 
1,10252025BLU4,11,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-142.36, ,N,20251025, ,200, , 
1,10252025BLU4,12,36,0,36,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-29.06, ,N,20251025, ,350, , 
1,10252025BLU4,13,41,0,41,100008,NL,,20251025,AMBULATORY,Cash,USD,0,44664.87, ,N,20251025, ,100, , 
1,10252025BLU4,14,41,0,41,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-2268.94, ,N,20251025, ,100, , 
1,10252025BLU4,15,41,0,41,100008,NL,,20251025,AMBULATORY,Cash,USD,0,6124.60, ,N,20251025, ,200, , 
1,10252025BLU4,16,41,0,41,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-98.85, ,N,20251025, ,200, , 
1,10252025BLU4,17,60,0,60,100008,NL,,20251025,AMBULATORY,Cash,USD,0,636.45, ,N,20251025, ,241, , 
1,10252025BLU4,18,60,0,60,100008,NL,,20251025,AMBULATORY,Cash,USD,0,1701.84, ,N,20251025, ,043, , 
1,10252025BLU4,19,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,13095.50, ,N,20251025, ,012, , 
1,10252025BLU4,20,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-163.67, ,N,20251025, ,012, , 
1,10252025BLU4,21,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,993.38, ,N,20251025, ,016, , 
1,10252025BLU4,22,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,1672.05, ,N,20251025, ,018, , 
1,10252025BLU4,23,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,13786.05, ,N,20251025, ,027, , 
1,10252025BLU4,24,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-389.70, ,N,20251025, ,027, , 
1,10252025BLU4,25,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,2110.41, ,N,20251025, ,028, , 
1,10252025BLU4,26,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,139.10, ,N,20251025, ,035, , 
1,10252025BLU4,27,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-20.66, ,N,20251025, ,035, , 
1,10252025BLU4,28,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,22767.20, ,N,20251025, ,036, , 
1,10252025BLU4,29,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,4000.98, ,N,20251025, ,086, , 
1,10252025BLU4,30,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-520.08, ,N,20251025, ,086, , 
1,10252025BLU4,31,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,13233.07, ,N,20251025, ,088, , 
1,10252025BLU4,32,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-518.09, ,N,20251025, ,088, , 
1,10252025BLU4,33,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,373.26, ,N,20251025, ,090, , 
1,10252025BLU4,34,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-174.35, ,N,20251025, ,090, , 
1,10252025BLU4,35,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,2518.71, ,N,20251025, ,091, , 
1,10252025BLU4,36,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,12100.67, ,N,20251025, ,093, , 
1,10252025BLU4,37,70,0,70,100008,NL,,20251025,AMBULATORY,Cash,USD,0,-136.75, ,N,20251025, ,093, , 
1,10252025BLU4,38,36,0,36,100082,NL,,20251025,AMBULATORY,Cash,USD,0,961.46, ,N,20251025, ,500, , 
1,10252025BLU4,39,36,0,36,100082,NL,,20251025,AMBULATORY,Cash,USD,0,250.00, ,N,20251025, ,520, , 
1,10252025BLU4,40,10,0,10,101010,NL,,20251025,AMBULATORY,A/R,USD,0,6556.00, ,N,20251025, ,027, , 
1,10252025BLU4,41,10,0,10,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-4175.20, ,N,20251025, ,027, , 
1,10252025BLU4,42,10,0,10,101010,NL,,20251025,AMBULATORY,A/R,USD,0,10830.67, ,N,20251025, ,012, , 
1,10252025BLU4,43,10,0,10,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-6812.97, ,N,20251025, ,012, , 
1,10252025BLU4,44,35,0,35,101010,NL,,20251025,AMBULATORY,A/R,USD,0,23282.14, ,N,20251025, ,028, , 
1,10252025BLU4,45,35,0,35,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-7227.74, ,N,20251025, ,028, , 
1,10252025BLU4,46,35,0,35,101010,NL,,20251025,AMBULATORY,A/R,USD,0,15806.90, ,N,20251025, ,012, , 
1,10252025BLU4,47,35,0,35,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-12324.01, ,N,20251025, ,012, , 
1,10252025BLU4,48,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,63195.48, ,N,20251025, ,100, , 
1,10252025BLU4,49,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-89000.42, ,N,20251025, ,100, , 
1,10252025BLU4,50,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,11489.00, ,N,20251025, ,150, , 
1,10252025BLU4,51,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-22516.84, ,N,20251025, ,150, , 
1,10252025BLU4,52,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,7129.68, ,N,20251025, ,200, , 
1,10252025BLU4,53,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-7819.24, ,N,20251025, ,200, , 
1,10252025BLU4,54,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,98.00, ,N,20251025, ,350, , 
1,10252025BLU4,55,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,19049.00, ,N,20251025, ,500, , 
1,10252025BLU4,56,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-10507.57, ,N,20251025, ,500, , 
1,10252025BLU4,57,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,2340.00, ,N,20251025, ,520, , 
1,10252025BLU4,58,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-301.50, ,N,20251025, ,520, , 
1,10252025BLU4,59,36,0,36,101010,NL,,20251025,AMBULATORY,A/R,USD,0,16.94, ,N,20251025, ,760, , 
1,10252025BLU4,60,41,0,41,101010,NL,,20251025,AMBULATORY,A/R,USD,0,200162.21, ,N,20251025, ,100, , 
1,10252025BLU4,61,41,0,41,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-141467.62, ,N,20251025, ,100, , 
1,10252025BLU4,62,41,0,41,101010,NL,,20251025,AMBULATORY,A/R,USD,0,4881.85, ,N,20251025, ,200, , 
1,10252025BLU4,63,41,0,41,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-9084.45, ,N,20251025, ,200, , 
1,10252025BLU4,64,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-1097.00, ,N,20251025, ,241, , 
1,10252025BLU4,65,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,66760.42, ,N,20251025, ,020, , 
1,10252025BLU4,66,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-88395.15, ,N,20251025, ,020, , 
1,10252025BLU4,67,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,12071.05, ,N,20251025, ,021, , 
1,10252025BLU4,68,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-16482.95, ,N,20251025, ,021, , 
1,10252025BLU4,69,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,10757.12, ,N,20251025, ,023, , 
1,10252025BLU4,70,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-13216.81, ,N,20251025, ,023, , 
1,10252025BLU4,71,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,4971.20, ,N,20251025, ,043, , 
1,10252025BLU4,72,60,0,60,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-3531.98, ,N,20251025, ,043, , 
1,10252025BLU4,73,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,20180.18, ,N,20251025, ,012, , 
1,10252025BLU4,74,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-26043.14, ,N,20251025, ,012, , 
1,10252025BLU4,75,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,8487.00, ,N,20251025, ,016, , 
1,10252025BLU4,76,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-3888.98, ,N,20251025, ,016, , 
1,10252025BLU4,77,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,20595.83, ,N,20251025, ,018, , 
1,10252025BLU4,78,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-10733.68, ,N,20251025, ,018, , 
1,10252025BLU4,79,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,11760.81, ,N,20251025, ,019, , 
1,10252025BLU4,80,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-11015.36, ,N,20251025, ,019, , 
1,10252025BLU4,81,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,45004.00, ,N,20251025, ,027, , 
1,10252025BLU4,82,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-40134.64, ,N,20251025, ,027, , 
1,10252025BLU4,83,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,3924.35, ,N,20251025, ,028, , 
1,10252025BLU4,84,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-7661.06, ,N,20251025, ,028, , 
1,10252025BLU4,85,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,6819.66, ,N,20251025, ,035, , 
1,10252025BLU4,86,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,-3973.12, ,N,20251025, ,035, , 
1,10252025BLU4,87,70,0,70,101010,NL,,20251025,AMBULATORY,A/R,USD,0,11292.00, ,N,20251025, ,036, , 
