FinanceEnterpriseGroup,GLTransactionInterface.RunGroup,GLTransactionInterface.SequenceNumber,AccountingEntity,Status,ToAccountingEntity,AccountCode,GeneralLedgerEvent,JournalCode,TransactionDate,Reference,Description,CurrencyCode,UnitsAmount,TransactionAmount,System,AutoReverse,PostingDate,Project,FinanceDimension1,FinanceDimension3,DocumentNumber
1,TargetTableName,1,Required,0,Required,Mappin,SampleValue,,,,,,0,,GL,N,,,ber,,
1,GLTransactionInterface,2,Y,0,Y,Hardco,1,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,3,Y,0,Y,,GLGrp001,,,,,,0,,GL,N,,,1,,
1,GLTransactionInterface,4,Y,0,Y,Increm,1,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,5,Y,0,Y,Remove,100,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,6,N,0,N,Hardco,0,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,7,Y,0,Y,,100,,,,,,0,,GL,N,,,3,,
1,GLTransactionInterface,8,Y,0,Y,Left(C,102002,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,9,N,0,N,If Col,TC,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,10,N,0,N,Trim(C,PROG01,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,11,N,0,N,DateRe,20250101,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,12,N,0,N,,REF001,,,,,,0,,GL,N,,,8,,
1,GLTransactionInterface,13,N,0,N,,Test Transaction,,,,,,0,,GL,N,,,9,,
1,GLTransactionInterface,14,N,0,N,,USD,,,,,,0,,GL,N,,,10,,
1,GLTransactionInterface,15,N,0,N,'0',0,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,16,N,0,N,,100,,,,,,0,,GL,N,,,12,,
1,GLTransactionInterface,17,N,0,N,If Col,GL,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,18,N,0,N,If Col,N,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,19,Y,0,Y,DateRe,20251025,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,20,N,0,N,,PROJ001,,,,,,0,,GL,N,,,19,,
1,GLTransactionInterface,21,N,0,N,Right(,101,,,,,,0,,GL,N,,,,,
1,GLTransactionInterface,22,N,0,N,,CAT01,,,,,,0,,GL,N,,,20,,
1,GLTransactionInterface,23,N,0,N,,DOC001,,,,,,0,,GL,N,,,21,,
