TargetFieldName,StartPosition,Length,MappingLogic,Required,DataType,ImpliedDecimal,MinLength,MaxLength,MinValue,MaxValue,ValidValues,Pattern
CashManagementGroup,,,Hardcode 'SONH',Y,string,0,,,,,,
RunGroup,,,Hardcode 'SONH_CBrecon',Y,string,0,,,,,,
CashManagementAccount,1,10,Trim(Column1),Y,string,0,1,35,,,,
SequenceNumber,,,Increment By 1,Y,integer,0,1,10,,,,
TransactionAmount,22,12,Column4,N,decimal,2,1,16,,,,
CashLedgerUpdateAction,21,1,If Column3 == 'P' Then '4' Else '6',Y,string,0,1,2,,,"P,R",
ActionDate,34,6,Column5,Y,string,0,6,8,,,,
CheckNumber,11,10,RemoveLeadingZeroes(Column2),Y,string,0,1,22,,,,
CashCode,,,Hardcode '',N,string,0,,,,,,
BankTransactionCode,,,Hardcode 'CHK',N,string,0,,,,,,
